Rating_id,movie_clip_id,user_id,rating
0,0,0,4
1,1,0,7
2,2,0,4
3,3,0,8
4,4,0,7
5,5,0,5
6,6,0,7
7,7,0,8
8,8,0,8
9,9,0,8
10,10,1,6
11,11,1,7
12,12,1,5
13,13,1,10
14,14,1,7
15,2,1,6
16,15,1,8
17,16,1,8
18,17,1,7
19,18,1,7
20,19,1,6
21,20,1,9
22,21,1,7
23,22,1,9
24,23,1,8
25,24,1,6
26,25,1,7
27,26,1,5
28,27,1,8
29,28,1,9
30,5,2,5
31,29,2,3
32,30,2,7
33,31,2,6
34,32,2,0
35,33,2,5
36,34,2,6
37,35,2,5
38,36,2,3
39,37,2,6
40,38,3,2
41,39,3,5
42,40,3,4
43,41,3,1
44,42,3,0
45,43,3,8
46,44,3,8
47,7,3,6
48,45,3,10
49,46,3,4
50,47,4,2
51,31,4,8
52,42,4,7
53,44,4,8
54,48,4,9
55,49,4,7
56,50,4,4
57,51,4,0
58,52,4,6
59,6,4,10
60,53,5,6
61,54,5,8
62,55,5,3
63,56,5,7
64,22,5,9
65,3,5,2
66,57,5,1
67,58,5,7
68,59,5,7
69,60,5,8
70,61,6,0
71,45,6,8
72,62,6,8
73,26,6,5
74,63,6,7
75,10,6,7
76,64,6,7
77,65,6,8
78,66,6,3
79,67,6,5
80,68,7,1
81,69,7,7
82,70,7,5
83,32,7,5
84,71,7,6
85,72,7,4
86,73,7,7
87,74,7,7
88,75,7,8
89,25,7,6
90,76,8,7
91,53,8,7
92,77,8,6
93,78,8,5
94,42,8,8
95,58,8,8
96,79,8,7
97,80,8,5
98,81,8,5
99,9,8,8
100,82,9,5
101,14,9,7
102,21,9,10
103,83,9,5
104,84,9,7
105,31,9,10
106,85,9,5
107,86,9,10
108,87,9,10
109,88,9,10
110,89,10,1
111,56,10,3
112,90,10,4
113,19,10,6
114,64,10,6
115,47,10,3
116,91,10,8
117,92,10,9
118,93,10,5
119,94,10,5
120,95,11,7
121,51,11,7
122,96,11,10
123,97,11,8
124,8,11,9
125,31,11,9
126,98,11,9
127,53,11,8
128,6,11,7
129,45,11,7
130,99,12,1
131,54,12,8
132,100,12,7
133,101,12,4
134,102,12,9
135,103,12,8
136,104,12,7
137,105,12,7
138,55,12,5
139,106,12,6
140,107,13,5
141,29,13,7
142,35,13,5
143,106,13,8
144,53,13,6
145,6,13,4
146,108,13,9
147,109,13,10
148,110,13,2
149,111,13,8
150,66,14,9
151,1,14,7
152,29,14,4
153,57,14,8
154,107,14,7
155,20,14,6
156,77,14,8
157,112,14,6
158,113,14,9
159,53,14,7
160,114,15,8
161,115,15,10
162,83,15,8
163,113,15,7
164,63,15,7
165,116,15,7
166,117,15,6
167,118,15,7
168,81,15,5
169,119,15,8
170,65,16,5
171,26,16,2
172,120,16,8
173,121,16,10
174,41,16,6
175,122,16,10
176,0,16,6
177,123,16,7
178,89,16,4
179,124,16,7
180,125,17,5
181,99,17,7
182,63,17,8
183,126,17,8
184,1,17,5
185,117,17,4
186,97,17,0
187,42,17,9
188,127,17,1
189,128,17,0
190,106,18,4
191,129,18,8
192,130,18,8
193,88,18,7
194,18,18,6
195,131,18,7
196,65,18,5
197,132,18,7
198,133,18,8
199,19,18,7
200,133,19,3
201,134,19,5
202,99,19,5
203,39,19,2
204,135,19,5
205,136,19,8
206,106,19,6
207,117,19,4
208,137,19,6
209,123,19,7
210,104,20,0
211,138,20,5
212,92,20,8
213,139,20,0
214,140,20,5
215,111,20,7
216,67,20,5
217,38,20,2
218,59,20,4
219,120,20,10
220,141,21,8
221,55,21,6
222,39,21,8
223,142,21,8
224,121,21,8
225,78,21,7
226,40,21,7
227,43,21,7
228,88,21,7
229,143,21,7
230,97,22,8
231,144,22,6
232,145,22,10
233,146,22,5
234,66,22,8
235,147,22,7
236,45,22,10
237,148,22,3
238,6,22,4
239,23,22,5
240,125,23,1
241,149,23,2
242,12,23,0
243,150,23,4
244,26,23,6
245,45,23,5
246,151,23,8
247,152,23,8
248,67,23,5
249,153,23,6
250,154,24,5
251,79,24,1
252,149,24,6
253,55,24,8
254,5,24,0
255,123,24,10
256,155,24,7
257,69,24,7
258,54,24,7
259,156,24,8
260,157,25,8
261,47,25,6
262,158,25,9
263,49,25,10
264,159,25,8
265,160,25,7
266,10,25,6
267,151,25,7
268,6,25,7
269,149,25,8
270,76,26,7
271,138,26,5
272,61,26,6
273,102,26,6
274,111,26,7
275,161,26,3
276,123,26,5
277,162,26,4
278,163,26,5
279,26,26,7
280,38,27,7
281,107,27,2
282,50,27,1
283,67,27,1
284,152,27,0
285,46,27,5
286,148,27,0
287,113,27,8
288,144,27,5
289,101,27,5
290,164,28,6
291,40,28,7
292,111,28,7
293,59,28,6
294,43,28,7
295,65,28,7
296,38,28,6
297,74,28,8
298,165,28,8
299,166,28,8
300,53,29,1
301,137,29,4
302,33,29,7
303,140,29,6
304,32,29,2
305,57,29,8
306,125,29,10
307,7,29,6
308,167,29,6
309,25,29,6
310,168,30,8
311,27,30,7
312,169,30,8
313,170,30,8
314,1,30,9
315,2,30,7
316,76,30,6
317,164,30,6
318,5,30,7
319,107,30,6
320,134,31,5
321,96,31,8
322,52,31,9
323,171,31,5
324,35,31,7
325,172,31,7
326,129,31,1
327,117,31,3
328,46,31,5
329,173,31,5
330,174,32,7
331,147,32,6
332,175,32,7
333,176,32,8
334,103,32,9
335,117,32,6
336,7,32,6
337,25,32,6
338,40,32,9
339,119,32,6
340,41,33,6
341,125,33,7
342,53,33,9
343,177,33,8
344,124,33,9
345,88,33,7
346,92,33,7
347,178,33,9
348,175,33,8
349,172,33,8
350,179,34,6
351,91,34,8
352,107,34,5
353,89,34,0
354,26,34,1
355,119,34,5
356,78,34,9
357,177,34,6
358,103,34,8
359,21,34,8
360,147,35,6
361,174,35,1
362,99,35,2
363,77,35,5
364,153,35,7
365,136,35,9
366,53,35,4
367,39,35,9
368,140,35,5
369,25,35,4
370,48,36,7
371,13,36,8
372,77,36,6
373,63,36,4
374,49,36,5
375,153,36,8
376,14,36,5
377,42,36,8
378,158,36,7
379,99,36,8
380,81,37,6
381,180,37,4
382,94,37,7
383,181,37,7
384,21,37,9
385,48,37,9
386,41,37,3
387,22,37,5
388,27,37,8
389,158,37,7
390,31,38,8
391,165,38,6
392,134,38,7
393,158,38,7
394,63,38,8
395,163,38,9
396,2,38,7
397,101,38,8
398,26,38,6
399,44,38,7
400,160,39,8
401,182,39,2
402,52,39,7
403,183,39,8
404,99,39,1
405,38,39,6
406,184,39,7
407,76,39,5
408,185,39,9
409,162,39,3
410,140,40,8
411,121,40,9
412,74,40,8
413,147,40,7
414,172,40,8
415,25,40,8
416,97,40,93
417,186,40,9
418,43,40,9
419,26,40,9
420,187,41,8
421,138,41,7
422,182,41,5
423,133,41,7
424,116,41,6
425,157,41,5
426,160,41,8
427,14,41,9
428,104,41,55
429,62,41,8
430,168,42,10
431,34,42,8
432,188,42,7
433,189,42,8
434,14,42,6
435,104,42,5
436,2,42,5
437,35,42,5
438,42,42,8
439,138,42,5
440,40,43,4
441,49,43,10
442,16,43,4
443,104,43,0
444,51,43,2
445,103,43,7
446,107,43,3
447,105,43,1
448,114,43,4
449,21,43,4
450,105,44,0
451,79,44,3
452,21,44,10
453,1,44,11
454,148,44,6
455,190,44,8
456,31,44,9
457,93,44,5
458,106,44,9
459,84,44,7
460,187,45,8
461,56,45,10
462,191,45,10
463,105,45,10
464,80,45,3
465,192,45,10
466,19,45,10
467,185,45,8
468,102,45,8
469,76,45,5
470,68,46,6
471,82,46,8
472,193,46,6
473,32,46,2
474,34,46,7
475,83,46,7
476,19,46,4
477,60,46,9
478,143,46,9
479,38,46,8
480,41,47,2
481,22,47,8
482,194,47,9
483,31,47,1
484,134,47,0
485,5,47,0
486,85,47,0
487,195,47,1
488,18,47,1
489,118,47,9
490,58,48,8
491,93,48,2
492,155,48,9
493,82,48,7
494,134,48,1
495,146,48,7
496,196,48,9
497,3,48,9
498,18,48,8
499,74,48,4
500,87,49,3
501,174,49,3
502,38,49,6
503,185,49,4
504,55,49,1
505,100,49,7
506,70,49,4
507,35,49,5
508,188,49,8
509,86,49,8
510,125,50,6
511,26,50,6
512,155,50,5
513,197,50,5
514,40,50,5
515,97,50,5
516,84,50,5
517,80,50,5
518,123,50,
519,167,50,5
520,35,51,2
521,164,51,5
522,127,51,7
523,34,51,3
524,31,51,5
525,98,51,6
526,109,51,7
527,97,51,3
528,198,51,5
529,38,51,5
530,83,52,8
531,199,52,9
532,100,52,8
533,200,52,7
534,125,52,7
535,38,52,6
536,65,52,5
537,3,52,7
538,97,52,7
539,2,52,6
540,84,53,3
541,201,53,6
542,202,53,6
543,27,53,5
544,117,53,3
545,101,53,5
546,72,53,5
547,194,53,6
548,11,53,7
549,88,53,6
550,169,54,8
551,104,54,7
552,203,54,8
553,105,54,8
554,65,54,7
555,199,54,9
556,123,54,8
557,32,54,7
558,34,54,9
559,204,54,9
560,56,55,6
561,205,55,8
562,45,55,5
563,179,55,7
564,146,55,6
565,13,55,7
566,201,55,0
567,162,55,2
568,68,55,3
569,9,55,5
570,122,56,9
571,59,56,3
572,11,56,10
573,72,56,6
574,160,56,8
575,204,56,5
576,206,56,7
577,47,56,4
578,207,56,5
579,133,56,6
580,99,57,2
581,49,57,8
582,165,57,10
583,29,57,9
584,154,57,9
585,129,57,0
586,208,57,8
587,209,57,9
588,21,57,10
589,53,57,0
590,179,58,5
591,35,58,5
592,12,58,5
593,5,58,4
594,177,58,7
595,36,58,6
596,54,58,7
597,102,58,7
598,210,58,6
599,81,58,4
600,107,59,9
601,197,59,7
602,53,59,7
603,150,59,6
604,94,59,6
605,60,59,7
606,71,59,8
607,204,59,8
608,100,59,6
609,21,59,9
610,131,60,3
611,156,60,0
612,123,60,3
613,140,60,5
614,74,60,6
615,118,60,3
616,62,60,10
617,211,60,6
618,107,60,5
619,173,60,6
620,5,61,5
621,212,61,1
622,121,61,8
623,137,61,5
624,45,61,8
625,85,61,5
626,200,61,6
627,155,61,5
628,80,61,5
629,90,61,5
630,116,62,6
631,154,62,7
632,19,62,8
